sid,name,ticker,type,slug,isin
SBIS,SBI BSE Sensex ETF,SBISENSEX,etf,/etfs/sbi-sensex-30-etf-SBIS,INF200K01VT2
SBIE,SBI Nifty Private Bank ETF,SBIETFPB,etf,/etfs/sbi-etf-bank-SBIE,INF200KA1S22
SBIET,SBI Nifty IT ETF,SBIETFIT,etf,/etfs/sbi-etf-it-SBIET,INF200KA1S14
SBIEF,SBI Nifty Consumption ETF,SBIETFCON,etf,/etfs/sbi-etf-consumption-SBIEF,INF200KA1X17
LIQU,SBI Nifty 1D Rate Liquid ETF - IDCW,LIQUIDSBI,etf,/etfs/sbi-nifty-1d-rate-etf-LIQU,INF200KA13Z8
LIQUS,Shriram Nifty 1D Rate Liquid ETF,LIQUIDSHRI,etf,/etfs/shriram-nifty-1d-rate-liquid-etf-LIQUS,INF680P01422
SBISI,SBI Silver ETF,SBISILVER,etf,/etfs/sbi-silver-etf-SBISI,INF200KB1217
SBINE,SBI Nifty50 Equal Weight ETF,SBINEQWETF,etf,/etfs/sbi-nifty50-equal-weight-etf-SBINE,INF200KB1282
SBIB,SBI BSE PSU BANK ETF,SBIBPB,etf,/etfs/sbi-bse-psu-bank-etf-SBIB,INF200KB1712
SBILI,SBI NIFTY 1D Rate Liquid ETF - Growth,SBILIQETF,etf,/etfs/sbi-nifty-1d-rate-liquid-etf-SBILI,INF200KB1969
8KMS,Securekloud Technologies Ltd,SECURKLOUD,stock,/stocks/8k-miles-software-services-8KMS,INE650K01021
AGRO,Sundrop Brands Ltd,SUNDROP,stock,/stocks/agro-tech-foods-AGRO,INE209A01019
GYSC,Shah Metacorp Ltd,SHAH,stock,/stocks/gyscoal-alloys-GYSC,INE482J01021
CLAC,Sudarshan Colorants India Ltd,HEUBACHIND,stock,/stocks/clariant-chemicals-india-CLAC,INE492A01029
INBF,Sammaan Capital Ltd,SAMMAANCAP,stock,/stocks/indiabulls-housing-finance-INBF,INE148I01020
SRIS,Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,stock,/stocks/sri-havisha-hospitality-and-infrastructure-SRIS,INE293B01029
INEO,Styrenix Performance Materials Ltd,STYRENIX,stock,/stocks/ineos-styrolution-india-INEO,INE189B01011
MOSS,Samvardhana Motherson International Ltd,MOTHERSON,stock,/stocks/motherson-sumi-systems-MOSS,INE775A01035
NELH,Satchmo Holdings Ltd,SATCH,stock,/stocks/nel-holdings-NELH,INE639K01016
SHSE,ShreeOswal Seeds and Chemicals Ltd,OSWALSEEDS,stock,/stocks/shreeoswal-seeds-and-chemicals-SHSE,INE00IK01029
SADE,Sadbhav Engineering Ltd,SADBHAV,stock,/stocks/sadbhav-engineering-SADE,INE226H01026
SNTL,Sandhar Technologies Ltd,SANDHAR,stock,/stocks/sandhar-technologies-SNTL,INE278H01035
SNGM,Sanghvi Movers Ltd,SANGHVIMOV,stock,/stocks/sanghvi-movers-SNGM,INE989A01032
SEQU,SeQuent Scientific Ltd,SEQUENT,stock,/stocks/sequent-scientific-SEQU,INE807F01027
SETU,Setubandhan Infrastructure Ltd,SETUINFRA,stock,/stocks/setubandhan-infrastructure-SETU,INE023M01027
SEYA,Seya Industries Ltd,SEYAIND,stock,/stocks/seya-industries-SEYA,INE573R01012
SHAB,Shankara Building Products Ltd,SHANKARA,stock,/stocks/shankara-building-products-SHAB,INE274V01019
SHRM,Shree Rama Multi-Tech Ltd,SHREERAMA,stock,/stocks/shree-rama-multi-tech-SHRM,INE879A01019
REVA,Semac Construction Ltd,SEMAC,stock,/stocks/revathi-equipment-REVA,INE617A01013
SAKA,Sakar Healthcare Ltd,SAKAR,stock,/stocks/sakar-healthcare-SAKA,INE732S01012
SANO,Sanofi India Ltd,SANOFI,stock,/stocks/sanofi-india-SANO,INE058A01010
SEPW,Sampann Utpadan India Ltd,SAMPANN,stock,/stocks/se-power-SEPW,INE735M01018
SHPU,Shakti Pumps (India) Ltd,SHAKTIPUMP,stock,/stocks/shakti-pumps-india-SHPU,INE908D01010
SHLP,Shalimar Paints Ltd,SHALPAINTS,stock,/stocks/shalimar-paints-SHLP,INE849C01026
SIGN,Signet Industries Ltd,SIGIND,stock,/stocks/signet-industries-SIGN,INE529F01035
SILT,Silver Touch Technologies Ltd,SILVERTUC,stock,/stocks/silver-touch-technologies-SILT,INE625X01018
RELV,Swan Defence and Heavy Industries Ltd,SWANDEF,stock,/stocks/swan-defence-and-heavy-industries-ltd-RELV,INE542F01020
